Regions,max_long,max_lat,min_long,min_lat
North,-23.75,17.75,-26,16.0
East,-22,17.5,-24,14.75
South,-22.5,15.75,-25.25,14.5
Mindelo,-24.75,17.25,-25.25,16.75
Calhau,-24.5,17.25,-25,16.75
Sao_vicente,-24.75,17.25,-25.25,16.5
